ID,RR
1,0.9
2,2.1
3,0.8
4,
5,0.9
6,0.3
7,
8,
9,
10,
11,
12,8.2
13,7.8
14,14.8
15,0.1
16,5.7
17,4.5
18,2
19,13.5
20,28.1
21,4.4
22,0
23,22.6
24,61.2
25,
26,2.6
27,1.5
28,
29,
30,33.8
31,11.6
32,7.5
33,5.3
34,14.9
35,0.6
36,31.4
37,47.1
38,5.3
39,30.7
40,2
41,5.5
42,5.1
43,65.1
44,7
45,5.8
46,
47,
48,
49,1.5
50,91.6
51,3
52,0
53,0
54,2.5
55,48.9
56,2.9
57,0
58,7.6
59,0
60,6.1
61,9.6
62,6.1
63,20.7
64,3.1
65,7.8
66,6.7
67,17
68,1.6
69,0
70,0
71,7.4
72,10.7
73,0
74,29.1
75,8.1
76,30.1
77,0.8
78,51.7
79,0
80,15.7
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,16
89,0
90,0
91,0.1
92,1.9
93,0
94,7.8
95,0.1
96,0
97,14.3
98,8.6
99,0
100,0
101,5.6
102,54
103,62.3
104,0
105,19.7
106,0
107,0
108,0
109,3
110,51.4
111,3.6
112,0
113,
114,23.6
115,4.1
116,3.1
117,0.4
118,33.4
119,0
120,0.1
121,23.5
122,17.2
123,30.6
124,
125,8
126,0
127,0
128,0
129,0
130,
131,
132,0
133,
134,0
135,0
136,0
137,0
138,
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0.5
147,1
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,38.3
156,0
157,0
158,
159,0
160,
161,
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,
184,0
185,
186,
187,0
188,0
189,
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,
198,0
199,0
200,0
201,0
202,0
203,0
204,
205,0
206,0
207,0
208,0
209,0
210,0
211,
212,0
213,0
214,
215,0
216,0
217,
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,
254,0
255,
256,9.1
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,
299,
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,1.2
308,0
309,0
310,
311,42.4
312,
313,12.2
314,26.8
315,37.1
316,0
317,0
318,0
319,0
320,0
321,28.7
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,1.2
330,12.2
331,0
332,3.8
333,0
334,0
335,0
336,0
337,1.2
338,0
339,0
340,
341,42.4
342,
343,12.2
344,26.8
345,37.1
346,0
347,0
348,0
349,0
350,0
351,28.7
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,1.2
360,12.2
361,0
362,3.8
363,0
364,11.8
365,3.5
366,22.8
367,11.5
368,0
369,0
370,0
371,
372,13
373,13.4
374,20
375,2
376,0
377,0
378,0
379,0
380,
381,25.8
382,0.8
383,10.1
